time,p10,p50,p90,actual
2026-06-04 22:00:00+00:00,0.0,1.54480478956687e-07,2.907493216681718,0.0
2026-06-04 23:00:00+00:00,0.0,1.54480478956687e-07,0.4501435563956227,0.0
2026-06-05 00:00:00+00:00,0.0,0.0,1.54480478956687e-07,0.0
2026-06-05 01:00:00+00:00,0.0,0.0,1.54480478956687e-07,1.7425
2026-06-05 02:00:00+00:00,1.625205707241343,6.524460070171784,14.607257923825593,52.0375
2026-06-05 03:00:00+00:00,0.4222277248124997,8.800653797071398,95.98538717744924,82.52000000000001
2026-06-05 04:00:00+00:00,126.10349949804916,209.7929266072363,214.07848439641265,195.6725
2026-06-05 05:00:00+00:00,252.05860624834307,375.67353189123696,382.6998703260988,336.93
2026-06-05 06:00:00+00:00,369.1414879435006,591.93049419626,728.2120340749619,470.0975
2026-06-05 07:00:00+00:00,500.9497662030105,818.7898759818097,844.2564116262837,544.6225000000001
2026-06-05 08:00:00+00:00,599.7576797025008,902.941805977955,921.9077052594082,666.545
2026-06-05 09:00:00+00:00,697.523333246509,951.3849715925986,986.6771327678014,919.72
2026-06-05 10:00:00+00:00,829.1822042815649,1179.8570701233443,1201.6303252050566,1224.845
2026-06-05 11:00:00+00:00,926.7052643241492,1294.948761000011,1324.6604216755263,1370.9
2026-06-05 12:00:00+00:00,1092.1008395420645,1410.9129530157438,1421.0364806355378,1445.3175
2026-06-05 13:00:00+00:00,1031.1780569453438,1283.9679532018883,1371.650677404045,1482.51
2026-06-05 14:00:00+00:00,857.1976688022357,1148.8044490733637,1314.2048398566542,1336.74
2026-06-05 15:00:00+00:00,678.7396593192499,898.6364208930945,941.9464918038988,1010.605
2026-06-05 16:00:00+00:00,457.21963457100014,562.8870657123045,679.0996846706569,663.9325
2026-06-05 17:00:00+00:00,181.34507664414625,276.9061867158952,332.47296106593456,311.9225
2026-06-05 18:00:00+00:00,93.21672751108026,128.31344640149806,161.5680582485331,124.915
2026-06-05 19:00:00+00:00,0.0,7.181168902385304,22.200196962150656,66.3425
2026-06-05 20:00:00+00:00,0.0,0.0,1.54480478956687e-07,0.0
2026-06-05 21:00:00+00:00,0.0,0.0,1.54480478956687e-07,0.0
2026-06-05 22:00:00+00:00,0.0,0.0,1.54480478956687e-07,0.0
2026-06-05 23:00:00+00:00,0.0,0.0,1.54480478956687e-07,0.0
2026-06-06 00:00:00+00:00,0.0,0.0,1.54480478956687e-07,0.0
2026-06-06 01:00:00+00:00,0.0,0.0,1.54480478956687e-07,2.4275
2026-06-06 02:00:00+00:00,1.625205707241343,7.057115799380598,14.607257923825593,48.9375
2026-06-06 03:00:00+00:00,0.6949387487393142,4.12737788302243,74.77927502119053,106.1325
2026-06-06 04:00:00+00:00,245.3331563961744,362.93115992973793,450.8255794849362,367.53499999999997
2026-06-06 05:00:00+00:00,600.6177108328674,899.8104992699599,1016.3395552718972,925.8375
2026-06-06 06:00:00+00:00,1145.6022719794776,1525.871743137847,1624.680791753531,1706.8025
2026-06-06 07:00:00+00:00,1743.859119945454,2135.998185750896,2162.255051757112,2378.28
2026-06-06 08:00:00+00:00,2066.704362324336,2412.516812024008,2433.1204763480764,2795.5575
2026-06-06 09:00:00+00:00,2250.3386914361663,2464.264536741535,2489.361288395317,2982.3775
2026-06-06 10:00:00+00:00,2239.5567878137786,2494.3112261089414,2534.7504999444664,2963.9275
2026-06-06 11:00:00+00:00,2196.7111191674726,2433.9124365908174,2452.7966109955582,2857.58
2026-06-06 12:00:00+00:00,2089.0077876493124,2331.1596417913206,2348.847518370845,2599.875
2026-06-06 13:00:00+00:00,1645.7509007995798,1919.1709771468215,1990.9637913724605,2234.08
2026-06-06 14:00:00+00:00,1296.025417812126,1500.8721848136038,1515.259005417979,1802.995
2026-06-06 15:00:00+00:00,866.7869194907394,1001.1480304106274,1105.1294205314791,1322.42
2026-06-06 16:00:00+00:00,440.2013461192647,550.5362147717476,619.2535427294043,775.2475
2026-06-06 17:00:00+00:00,174.693946483023,228.84023903528168,305.6250057979402,372.405
2026-06-06 18:00:00+00:00,76.67998073070866,122.55056300697026,175.9332020695303,138.8275
2026-06-06 19:00:00+00:00,0.0,12.665617103259171,36.526108318329655,66.8125
2026-06-06 20:00:00+00:00,0.0,1.54480478956687e-07,1.4128551247284202,0.0
2026-06-06 21:00:00+00:00,0.0,1.54480478956687e-07,9.229525249979982,0.0
