mag_bin,MAE,ME,n
0-200,52.72673828640351,-41.668905796601095,172
200-500,87.7440751537894,-14.645102778185342,187
500-800,143.10393626151074,44.216293026140306,134
800+,196.09799720695375,157.7031919642676,239
