hour,ME,MAE,n
6,105.91788720525736,151.97813667883563,7
7,39.5182641560549,116.45442815263813,39
8,50.75029184087957,126.91882360862205,92
9,89.53361934552387,158.22886768541,92
10,86.09700626675526,167.6346124088459,92
11,78.08380724128419,170.3415712067683,92
12,54.42438276116561,146.33835409948884,92
13,15.50518456170299,86.78900977061481,92
14,-23.37962709814023,58.7735824316392,92
15,-23.2304627917088,43.41314201010405,37
16,-1.2198866733532738,25.270073999607405,5
