target_time,issue_date,p10,p50,p90,actual
2026-06-09 22:00:00+00:00,2026-06-09,0.0,0.0,1.54480478956687e-07,0.0
2026-06-09 23:00:00+00:00,2026-06-09,0.0,0.0,1.54480478956687e-07,0.0
2026-06-10 00:00:00+00:00,2026-06-09,0.0,0.0,1.54480478956687e-07,0.0
2026-06-10 01:00:00+00:00,2026-06-09,0.0,1.54480478956687e-07,1.792245017854052,4.0
2026-06-10 02:00:00+00:00,2026-06-09,1.625205707241343,10.87530714084161,17.519036431103036,48.0125
2026-06-10 03:00:00+00:00,2026-06-09,0.3683836302834795,8.570282968638518,74.77927502119053,69.8075
2026-06-10 04:00:00+00:00,2026-06-09,108.82845331950602,174.45190892670158,179.08505765976156,201.72
2026-06-10 05:00:00+00:00,2026-06-09,200.21756276668805,265.35802745041605,321.7261530120082,361.115
2026-06-10 06:00:00+00:00,2026-06-09,253.3302119700737,365.50023932332135,435.42561335331465,521.155
2026-06-10 07:00:00+00:00,2026-06-09,369.444387653752,511.5754058876786,570.185547879638,673.005
2026-06-10 08:00:00+00:00,2026-06-09,440.4745011912741,619.878748396679,733.0341026969168,760.8375
2026-06-10 09:00:00+00:00,2026-06-09,612.2226856022768,896.5586816393352,955.3970675212698,934.0525
2026-06-10 10:00:00+00:00,2026-06-09,704.6368411343961,1042.323825640581,1094.6141971903746,1106.46
2026-06-10 11:00:00+00:00,2026-06-09,630.4167079834888,811.580628566471,1038.0488411502986,1115.02
2026-06-10 12:00:00+00:00,2026-06-09,577.6896957511037,749.6081459866924,860.372457743938,968.8125
2026-06-10 13:00:00+00:00,2026-06-09,503.26047473683326,759.0530773443379,766.032940942787,710.1175000000001
2026-06-10 14:00:00+00:00,2026-06-09,418.5887922164963,612.4610396813199,677.6644873300876,487.6825
2026-06-10 15:00:00+00:00,2026-06-09,289.40054383803766,400.3431043767144,473.4771772678083,342.6375
2026-06-10 16:00:00+00:00,2026-06-09,197.2965169148733,336.1099897264701,342.2518743213678,236.47500000000002
2026-06-10 17:00:00+00:00,2026-06-09,128.57264129256762,209.3491320514256,220.6407906566176,157.12
2026-06-10 18:00:00+00:00,2026-06-09,58.68966910067771,96.31088554699176,104.23027001446108,85.44
2026-06-10 19:00:00+00:00,2026-06-09,2.4777426292631755,2.9234581544162253,20.05618159259902,66.15
2026-06-10 20:00:00+00:00,2026-06-09,1.54480478956687e-07,0.0062108215947577,0.3536324477476268,2.1675
2026-06-10 21:00:00+00:00,2026-06-09,0.0,0.0,1.54480478956687e-07,0.0
2026-06-10 22:00:00+00:00,2026-06-10,0.0,1.54480478956687e-07,0.5057334561541481,0.0
2026-06-10 23:00:00+00:00,2026-06-10,0.0,0.0,1.54480478956687e-07,0.0
2026-06-11 00:00:00+00:00,2026-06-10,0.0,0.0,1.54480478956687e-07,0.0
2026-06-11 01:00:00+00:00,2026-06-10,0.0,1.54480478956687e-07,1.792245017854052,4.73
2026-06-11 02:00:00+00:00,2026-06-10,1.625205707241343,8.924813042256796,17.519036431103036,47.1275
2026-06-11 03:00:00+00:00,2026-06-10,1.5215457990586123,7.806003579597684,95.98538717744924,80.4975
2026-06-11 04:00:00+00:00,2026-06-10,156.0376277177422,203.09894368659045,224.8755624160869,276.56
2026-06-11 05:00:00+00:00,2026-06-10,300.3420168979931,477.55861377481807,483.0493880852746,580.2025
2026-06-11 06:00:00+00:00,2026-06-10,523.6723383756084,694.668722439352,793.1768510633071,815.8175
2026-06-11 07:00:00+00:00,2026-06-10,650.7772675901261,1016.6978509650286,1057.7640410193412,1197.01
2026-06-11 08:00:00+00:00,2026-06-10,912.7879699344162,1322.1196916710562,1327.379069762387,1598.01
2026-06-11 09:00:00+00:00,2026-06-10,1034.5416840450407,1449.2285197987198,1585.8362704104086,2065.385
2026-06-11 10:00:00+00:00,2026-06-10,1262.673083997672,1680.6301303005516,1844.125715871812,2166.5025
2026-06-11 11:00:00+00:00,2026-06-10,1465.3743394944447,1839.155904060628,1977.9943027707675,1957.9325
2026-06-11 12:00:00+00:00,2026-06-10,1465.8076847908203,1796.3866447765208,1800.622362010536,1920.9924999999998
2026-06-11 13:00:00+00:00,2026-06-10,1230.0355551967457,1531.2966825305346,1635.694162019207,1916.4625
2026-06-11 14:00:00+00:00,2026-06-10,992.2173282327772,1332.83366367294,1417.6731528062992,1668.5375
2026-06-11 15:00:00+00:00,2026-06-10,819.9043814029383,895.1634371811361,1034.188395703975,1390.6175
2026-06-11 16:00:00+00:00,2026-06-10,510.6452767264408,593.230280269854,632.8679243868069,840.8000000000001
2026-06-11 17:00:00+00:00,2026-06-10,230.5864958765581,348.0993385290339,371.39642318069286,355.82
2026-06-11 18:00:00+00:00,2026-06-10,98.10025972631276,121.52182962274436,159.41222371807717,139.37
2026-06-11 19:00:00+00:00,2026-06-10,0.0,0.0,32.61344752073412,64.7475
2026-06-11 20:00:00+00:00,2026-06-10,0.0,0.0,1.54480478956687e-07,3.065
2026-06-11 21:00:00+00:00,2026-06-10,0.0,0.0,1.54480478956687e-07,0.0
2026-06-11 22:00:00+00:00,2026-06-11,0.0,0.0,1.54480478956687e-07,0.0
2026-06-11 23:00:00+00:00,2026-06-11,0.0,0.0,1.54480478956687e-07,0.0
2026-06-12 00:00:00+00:00,2026-06-11,0.0,0.0,1.54480478956687e-07,0.0
2026-06-12 01:00:00+00:00,2026-06-11,0.0,1.54480478956687e-07,1.792245017854052,4.7725
2026-06-12 02:00:00+00:00,2026-06-11,1.625205707241343,5.11580428642472,17.519036431103036,47.91
2026-06-12 03:00:00+00:00,2026-06-11,1.6781514372914144,1.904882379935696,60.08134790310493,114.245
2026-06-12 04:00:00+00:00,2026-06-11,238.6317399445223,358.0035235091636,501.0264796015198,356.81
2026-06-12 05:00:00+00:00,2026-06-11,545.9315882808853,880.3344018283923,1180.0653720136047,809.27
2026-06-12 06:00:00+00:00,2026-06-11,1040.854232439318,1441.8168360075122,1604.3067026782348,1343.3825000000002
