time,p10,p50,p90
2026-06-04 22:00:00+00:00,0.0,1.5448047895668698e-07,2.907493216681718
2026-06-04 23:00:00+00:00,0.0,1.5448047895668698e-07,0.4501435563956227
2026-06-05 00:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-05 01:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-05 02:00:00+00:00,1.625205707241343,6.524460070171784,14.607257923825593
2026-06-05 03:00:00+00:00,0.42222772481249976,8.800653797071398,95.98538717744924
2026-06-05 04:00:00+00:00,126.10349949804917,209.7929266072363,214.07848439641265
2026-06-05 05:00:00+00:00,252.05860624834307,375.67353189123696,382.6998703260988
2026-06-05 06:00:00+00:00,369.1414879435006,591.93049419626,728.2120340749619
2026-06-05 07:00:00+00:00,500.9497662030105,818.7898759818097,844.2564116262837
2026-06-05 08:00:00+00:00,599.7576797025008,902.941805977955,921.9077052594082
2026-06-05 09:00:00+00:00,697.523333246509,951.3849715925986,986.6771327678014
2026-06-05 10:00:00+00:00,829.1822042815649,1179.8570701233443,1201.6303252050566
2026-06-05 11:00:00+00:00,926.7052643241493,1294.948761000011,1324.6604216755263
2026-06-05 12:00:00+00:00,1092.1008395420643,1410.9129530157438,1421.0364806355378
2026-06-05 13:00:00+00:00,1031.1780569453438,1283.9679532018883,1371.650677404045
2026-06-05 14:00:00+00:00,857.1976688022357,1148.8044490733635,1314.2048398566542
2026-06-05 15:00:00+00:00,678.7396593192499,898.6364208930945,941.9464918038989
2026-06-05 16:00:00+00:00,457.21963457100014,562.8870657123045,679.0996846706569
2026-06-05 17:00:00+00:00,181.34507664414622,276.9061867158952,332.47296106593456
2026-06-05 18:00:00+00:00,93.21672751108026,128.31344640149806,161.5680582485331
2026-06-05 19:00:00+00:00,0.0,7.181168902385304,22.200196962150656
2026-06-05 20:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-05 21:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-05 22:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-05 23:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-06 00:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-06 01:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-06 02:00:00+00:00,1.625205707241343,7.057115799380598,14.607257923825593
2026-06-06 03:00:00+00:00,0.6949387487393142,4.12737788302243,74.77927502119053
2026-06-06 04:00:00+00:00,245.3331563961744,362.93115992973793,450.8255794849362
2026-06-06 05:00:00+00:00,600.6177108328674,899.8104992699599,1016.3395552718973
2026-06-06 06:00:00+00:00,1145.6022719794776,1525.871743137847,1624.680791753531
2026-06-06 07:00:00+00:00,1743.859119945454,2135.998185750896,2162.2550517571117
2026-06-06 08:00:00+00:00,2066.7043623243358,2412.5168120240073,2433.1204763480764
2026-06-06 09:00:00+00:00,2250.3386914361663,2464.264536741535,2489.361288395317
2026-06-06 10:00:00+00:00,2239.5567878137786,2494.3112261089414,2534.7504999444664
2026-06-06 11:00:00+00:00,2196.7111191674726,2433.9124365908174,2452.7966109955582
2026-06-06 12:00:00+00:00,2089.0077876493124,2331.1596417913206,2348.847518370845
2026-06-06 13:00:00+00:00,1645.7509007995798,1919.1709771468218,1990.9637913724603
2026-06-06 14:00:00+00:00,1296.025417812126,1500.8721848136038,1515.2590054179793
2026-06-06 15:00:00+00:00,866.7869194907394,1001.1480304106274,1105.1294205314791
2026-06-06 16:00:00+00:00,440.20134611926466,550.5362147717476,619.2535427294043
2026-06-06 17:00:00+00:00,174.693946483023,228.84023903528166,305.6250057979402
2026-06-06 18:00:00+00:00,76.67998073070866,122.55056300697026,175.9332020695303
2026-06-06 19:00:00+00:00,0.0,12.665617103259173,36.526108318329655
2026-06-06 20:00:00+00:00,0.0,1.5448047895668698e-07,1.4128551247284202
2026-06-06 21:00:00+00:00,0.0,1.5448047895668698e-07,9.229525249979982
